model,train_accuracy,train_precision,train_recall,train_f1,train_specificity,train_auroc,train_auprc,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_auroc,val_auprc,test_accuracy,test_precision,test_recall,test_f1,test_specificity,test_auroc,test_auprc
XGBoost,0.7967641628607521,0.6869848799288467,0.7896135759558373,0.7347327034054157,0.8007247744517005,0.8789233014931166,0.8131913348329489,0.7642829382044306,0.6447552447552447,0.7540894220283533,0.6951495350590601,0.769927536231884,0.83354340187231,0.757039127166522,0.7557326078507579,0.6370546318289786,0.7311886586695747,0.6808834729626809,0.7693236714975845,0.8188617347315075,0.7421153029716788
LightGBM,0.7973714896511515,0.6873151106377944,0.7917263000068152,0.7358353127474268,0.8004982824355441,0.8793982612041366,0.8140805298998092,0.7611737271667315,0.6407631456491392,0.7508178844056707,0.6914386141099673,0.7669082125603864,0.8313174326595336,0.7529514534631719,0.755926933540614,0.6368371212121212,0.7333696837513631,0.6817029903699949,0.7684178743961353,0.8160843356039174,0.7374304159292513
